Month,Count,Direction,CLPR,Visa,Citizenship
2005-10-01,86,Arrivals,India,Visitor,Non-New Zealand
2005-10-01,44,Arrivals,India,Work,Non-New Zealand
2005-11-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-11-01,1,Arrivals,India,Other,Non-New Zealand
2005-11-01,49,Arrivals,India,Residence,Non-New Zealand
2005-11-01,37,Arrivals,India,Student,Non-New Zealand
2005-11-01,228,Arrivals,India,TOTAL,Non-New Zealand
2005-11-01,102,Arrivals,India,Visitor,Non-New Zealand
2005-11-01,39,Arrivals,India,Work,Non-New Zealand
2005-12-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-12-01,2,Arrivals,India,Other,Non-New Zealand
2005-12-01,67,Arrivals,India,Residence,Non-New Zealand
2005-12-01,15,Arrivals,India,Student,Non-New Zealand
2005-12-01,211,Arrivals,India,TOTAL,Non-New Zealand
2005-12-01,93,Arrivals,India,Visitor,Non-New Zealand
2005-12-01,34,Arrivals,India,Work,Non-New Zealand
2006-01-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2006-01-01,4,Arrivals,India,Other,Non-New Zealand
2006-01-01,30,Arrivals,India,Residence,Non-New Zealand
2006-01-01,47,Arrivals,India,Student,Non-New Zealand
2006-01-01,205,Arrivals,India,TOTAL,Non-New Zealand
2006-01-01,74,Arrivals,India,Visitor,Non-New Zealand
2006-01-01,49,Arrivals,India,Work,Non-New Zealand
2006-02-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2006-02-01,0,Arrivals,India,Other,Non-New Zealand
2006-02-01,46,Arrivals,India,Residence,Non-New Zealand
2006-02-01,293,Arrivals,India,Student,Non-New Zealand
2006-02-01,485,Arrivals,India,TOTAL,Non-New Zealand
2006-02-01,87,Arrivals,India,Visitor,Non-New Zealand
2006-02-01,59,Arrivals,India,Work,Non-New Zealand
2006-03-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2006-03-01,2,Arrivals,India,Other,Non-New Zealand
2006-03-01,73,Arrivals,India,Residence,Non-New Zealand
2006-03-01,59,Arrivals,India,Student,Non-New Zealand
2006-03-01,309,Arrivals,India,TOTAL,Non-New Zealand
2006-03-01,118,Arrivals,India,Visitor,Non-New Zealand
2006-03-01,57,Arrivals,India,Work,Non-New Zealand
2006-04-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
