Month,Count,Direction,CLPR,Visa,Citizenship
2004-12-01,82,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-12-01,32,Arrivals,Philippines,Visitor,Non-New Zealand
2004-12-01,9,Arrivals,Philippines,Work,Non-New Zealand
2005-01-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-01-01,4,Arrivals,Philippines,Other,Non-New Zealand
2005-01-01,23,Arrivals,Philippines,Residence,Non-New Zealand
2005-01-01,7,Arrivals,Philippines,Student,Non-New Zealand
2005-01-01,75,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-01-01,34,Arrivals,Philippines,Visitor,Non-New Zealand
2005-01-01,7,Arrivals,Philippines,Work,Non-New Zealand
2005-02-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-02-01,3,Arrivals,Philippines,Other,Non-New Zealand
2005-02-01,16,Arrivals,Philippines,Residence,Non-New Zealand
2005-02-01,21,Arrivals,Philippines,Student,Non-New Zealand
2005-02-01,99,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-02-01,52,Arrivals,Philippines,Visitor,Non-New Zealand
2005-02-01,7,Arrivals,Philippines,Work,Non-New Zealand
2005-03-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-03-01,6,Arrivals,Philippines,Other,Non-New Zealand
2005-03-01,13,Arrivals,Philippines,Residence,Non-New Zealand
2005-03-01,4,Arrivals,Philippines,Student,Non-New Zealand
2005-03-01,77,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-03-01,41,Arrivals,Philippines,Visitor,Non-New Zealand
2005-03-01,13,Arrivals,Philippines,Work,Non-New Zealand
2005-04-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-04-01,1,Arrivals,Philippines,Other,Non-New Zealand
2005-04-01,37,Arrivals,Philippines,Residence,Non-New Zealand
2005-04-01,14,Arrivals,Philippines,Student,Non-New Zealand
2005-04-01,117,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-04-01,54,Arrivals,Philippines,Visitor,Non-New Zealand
2005-04-01,11,Arrivals,Philippines,Work,Non-New Zealand
2005-05-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-05-01,5,Arrivals,Philippines,Other,Non-New Zealand
2005-05-01,44,Arrivals,Philippines,Residence,Non-New Zealand
2005-05-01,13,Arrivals,Philippines,Student,Non-New Zealand
2005-05-01,134,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-05-01,60,Arrivals,Philippines,Visitor,Non-New Zealand
2005-05-01,12,Arrivals,Philippines,Work,Non-New Zealand
2005-06-01,1,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-06-01,7,Arrivals,Philippines,Other,Non-New Zealand
2005-06-01,31,Arrivals,Philippines,Residence,Non-New Zealand
2005-06-01,17,Arrivals,Philippines,Student,Non-New Zealand
2005-06-01,116,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-06-01,47,Arrivals,Philippines,Visitor,Non-New Zealand
2005-06-01,13,Arrivals,Philippines,Work,Non-New Zealand
2005-07-01,2,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-07-01,2,Arrivals,Philippines,Other,Non-New Zealand
2005-07-01,12,Arrivals,Philippines,Residence,Non-New Zealand
2005-07-01,20,Arrivals,Philippines,Student,Non-New Zealand
2005-07-01,127,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-07-01,78,Arrivals,Philippines,Visitor,Non-New Zealand
2005-07-01,13,Arrivals,Philippines,Work,Non-New Zealand
2005-08-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-08-01,2,Arrivals,Philippines,Other,Non-New Zealand
2005-08-01,11,Arrivals,Philippines,Residence,Non-New Zealand
2005-08-01,8,Arrivals,Philippines,Student,Non-New Zealand
2005-08-01,87,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-08-01,51,Arrivals,Philippines,Visitor,Non-New Zealand
2005-08-01,15,Arrivals,Philippines,Work,Non-New Zealand
2005-09-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-09-01,0,Arrivals,Philippines,Other,Non-New Zealand
2005-09-01,23,Arrivals,Philippines,Residence,Non-New Zealand
2005-09-01,4,Arrivals,Philippines,Student,Non-New Zealand
2005-09-01,107,Arrivals,Philippines,TOTAL,Non-New Zealand
2005-09-01,51,Arrivals,Philippines,Visitor,Non-New Zealand
2005-09-01,29,Arrivals,Philippines,Work,Non-New Zealand
2005-10-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2005-10-01,6,Arrivals,Philippines,Other,Non-New Zealand
2005-10-01,22,Arrivals,Philippines,Residence,Non-New Zealand
2005-10-01,12,Arrivals,Philippines,Student,Non-New Zealand
