Month,Count,Direction,CLPR,Visa,Citizenship
2004-01-01,87,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-01-01,20,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-02-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-02-01,15,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-02-01,232,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-02-01,516,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-02-01,866,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-02-01,76,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-02-01,27,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-03-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-03-01,14,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-03-01,132,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-03-01,197,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-03-01,432,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-03-01,67,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-03-01,21,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-04-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-04-01,7,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-04-01,134,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-04-01,206,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-04-01,430,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-04-01,71,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-04-01,12,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-05-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-05-01,13,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-05-01,85,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-05-01,144,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-05-01,326,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-05-01,59,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-05-01,25,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-06-01,1,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-06-01,9,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-06-01,124,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-06-01,140,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-06-01,356,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-06-01,67,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-06-01,15,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-07-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-07-01,23,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-07-01,173,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-07-01,362,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-07-01,662,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-07-01,79,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-07-01,25,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-08-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-08-01,12,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-08-01,103,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-08-01,153,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-08-01,387,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-08-01,85,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-08-01,34,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-09-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-09-01,11,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-09-01,123,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-09-01,179,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-09-01,441,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-09-01,100,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-09-01,28,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-10-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-10-01,5,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-10-01,105,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-10-01,157,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-10-01,361,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-10-01,69,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-10-01,25,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-11-01,0,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-11-01,10,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-11-01,92,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-11-01,126,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-11-01,324,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-11-01,74,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-11-01,22,Arrivals,"China, People's Republic of",Work,Non-New Zealand
2004-12-01,3,Arrivals,"China, People's Republic of",New Zealand and Australian citizens,Non-New Zealand
2004-12-01,10,Arrivals,"China, People's Republic of",Other,Non-New Zealand
2004-12-01,115,Arrivals,"China, People's Republic of",Residence,Non-New Zealand
2004-12-01,57,Arrivals,"China, People's Republic of",Student,Non-New Zealand
2004-12-01,277,Arrivals,"China, People's Republic of",TOTAL,Non-New Zealand
2004-12-01,70,Arrivals,"China, People's Republic of",Visitor,Non-New Zealand
2004-12-01,22,Arrivals,"China, People's Republic of",Work,Non-New Zealand
