"Year Ended May","Decision Type","Nationality","Occupation Skill Level","Count"
"2016 PARTIAL (Jul-May)","Approved","Lesotho","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Lesotho","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Libya","(not recorded)",6
"2016 PARTIAL (Jul-May)","Approved","Libya","Skill level 2",0
"2016 PARTIAL (Jul-May)","Approved","Libya","Skill level 5",3
"2016 PARTIAL (Jul-May)","Approved","Liechtenstein","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Lithuania","(not recorded)",9
"2016 PARTIAL (Jul-May)","Approved","Lithuania","Skill level 1",9
"2016 PARTIAL (Jul-May)","Approved","Lithuania","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Lithuania","Skill level 3",12
"2016 PARTIAL (Jul-May)","Approved","Lithuania","Skill level 4",3
"2016 PARTIAL (Jul-May)","Approved","Luxembourg","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Luxembourg","Skill level 3",0
"2016 PARTIAL (Jul-May)","Approved","Macau","(not recorded)",6
"2016 PARTIAL (Jul-May)","Approved","Macau","Skill level 4",15
"2016 PARTIAL (Jul-May)","Approved","Macedonia","(not recorded)",21
"2016 PARTIAL (Jul-May)","Approved","Macedonia","Skill level 1",12
"2016 PARTIAL (Jul-May)","Approved","Macedonia","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Macedonia","Skill level 3",6
"2016 PARTIAL (Jul-May)","Approved","Macedonia","Skill level 4",3
"2016 PARTIAL (Jul-May)","Approved","Macedonia","Skill level 5",3
"2016 PARTIAL (Jul-May)","Approved","Madagascar","(not recorded)",0
"2016 PARTIAL (Jul-May)","Approved","Malawi","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Malawi","Skill level 1",3
"2016 PARTIAL (Jul-May)","Approved","Malawi","Skill level 2",0
"2016 PARTIAL (Jul-May)","Approved","Malawi","Skill level 3",0
"2016 PARTIAL (Jul-May)","Approved","Malaysia","(not recorded)",2715
"2016 PARTIAL (Jul-May)","Approved","Malaysia","Skill level 1",207
"2016 PARTIAL (Jul-May)","Approved","Malaysia","Skill level 2",162
"2016 PARTIAL (Jul-May)","Approved","Malaysia","Skill level 3",183
"2016 PARTIAL (Jul-May)","Approved","Malaysia","Skill level 4",156
"2016 PARTIAL (Jul-May)","Approved","Malaysia","Skill level 5",120
"2016 PARTIAL (Jul-May)","Approved","Maldives","(not recorded)",21
"2016 PARTIAL (Jul-May)","Approved","Maldives","Skill level 1",3
"2016 PARTIAL (Jul-May)","Approved","Maldives","Skill level 2",0
"2016 PARTIAL (Jul-May)","Approved","Mali","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Malta","(not recorded)",12
"2016 PARTIAL (Jul-May)","Approved","Malta","Skill level 1",0
"2016 PARTIAL (Jul-May)","Approved","Malta","Skill level 3",0
"2016 PARTIAL (Jul-May)","Approved","Marshall Islands","Skill level 4",0
"2016 PARTIAL (Jul-May)","Approved","Mauritius","(not recorded)",18
"2016 PARTIAL (Jul-May)","Approved","Mauritius","Skill level 1",6
"2016 PARTIAL (Jul-May)","Approved","Mauritius","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Mauritius","Skill level 3",12
"2016 PARTIAL (Jul-May)","Approved","Mauritius","Skill level 4",3
"2016 PARTIAL (Jul-May)","Approved","Mexico","(not recorded)",354
"2016 PARTIAL (Jul-May)","Approved","Mexico","Skill level 1",63
"2016 PARTIAL (Jul-May)","Approved","Mexico","Skill level 2",51
"2016 PARTIAL (Jul-May)","Approved","Mexico","Skill level 3",36
"2016 PARTIAL (Jul-May)","Approved","Mexico","Skill level 4",21
"2016 PARTIAL (Jul-May)","Approved","Mexico","Skill level 5",30
"2016 PARTIAL (Jul-May)","Approved","Moldova","(not recorded)",6
"2016 PARTIAL (Jul-May)","Approved","Moldova","Skill level 1",9
"2016 PARTIAL (Jul-May)","Approved","Moldova","Skill level 4",3
"2016 PARTIAL (Jul-May)","Approved","Moldova","Skill level 5",3
"2016 PARTIAL (Jul-May)","Approved","Mongolia","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Mongolia","Skill level 1",0
"2016 PARTIAL (Jul-May)","Approved","Mongolia","Skill level 2",0
"2016 PARTIAL (Jul-May)","Approved","Mongolia","Skill level 4",0
"2016 PARTIAL (Jul-May)","Approved","Morocco","(not recorded)",18
"2016 PARTIAL (Jul-May)","Approved","Morocco","Skill level 1",6
